District,Station,Date,Cumsum,Rain
Chennai,Nungambakkam,2020-01-01,1.4,1.4
Chennai,Nungambakkam,2020-01-02,2.8,1.4
Chennai,Nungambakkam,2020-01-03,3.6,0.8
Chennai,Nungambakkam,2020-01-04,4.5,0.9
Chennai,Nungambakkam,2020-01-05,5.5,1
Chennai,Nungambakkam,2020-01-06,5.9,0.4
Chennai,Nungambakkam,2020-01-07,6.8,0.9
Chennai,Nungambakkam,2020-01-08,7.3,0.5
Chennai,Nungambakkam,2020-01-09,7.8,0.5
Chennai,Nungambakkam,2020-01-10,8.1,0.3
Chennai,Nungambakkam,2020-01-11,8.5,0.4
Chennai,Nungambakkam,2020-01-12,9.2,0.7
Chennai,Nungambakkam,2020-01-13,11.4,2.2
Chennai,Nungambakkam,2020-01-14,13,1.6
Chennai,Nungambakkam,2020-01-15,14.1,1.1
Chennai,Nungambakkam,2020-01-16,16,1.9
Chennai,Nungambakkam,2020-01-17,16.3,0.3
Chennai,Nungambakkam,2020-01-18,17,0.7
Chennai,Nungambakkam,2020-01-19,17.2,0.2
Chennai,Nungambakkam,2020-01-20,17.2,0
Chennai,Nungambakkam,2020-01-21,17.2,0
Chennai,Nungambakkam,2020-01-22,17.3,0.1
Chennai,Nungambakkam,2020-01-23,17.4,0.1
Chennai,Nungambakkam,2020-01-24,17.4,0
Chennai,Nungambakkam,2020-01-25,17.5,0.1
Chennai,Nungambakkam,2020-01-26,17.7,0.2
Chennai,Nungambakkam,2020-01-27,18.4,0.7
Chennai,Nungambakkam,2020-01-28,18.9,0.5
Chennai,Nungambakkam,2020-01-29,19.2,0.3
Chennai,Nungambakkam,2020-01-30,19.3,0.1
Chennai,Nungambakkam,2020-01-31,19.5,0.2
Chennai,Nungambakkam,2020-02-01,19.6,0.1
Chennai,Nungambakkam,2020-02-02,19.6,0
Chennai,Nungambakkam,2020-02-03,19.7,0.1
Chennai,Nungambakkam,2020-02-04,19.8,0.1
Chennai,Nungambakkam,2020-02-05,19.8,0
Chennai,Nungambakkam,2020-02-06,19.9,0.1
Chennai,Nungambakkam,2020-02-07,20.4,0.5
Chennai,Nungambakkam,2020-02-08,20.6,0.2
Chennai,Nungambakkam,2020-02-09,20.6,0
Chennai,Nungambakkam,2020-02-10,20.7,0.1
Chennai,Nungambakkam,2020-02-11,20.7,0
Chennai,Nungambakkam,2020-02-12,20.8,0.1
Chennai,Nungambakkam,2020-02-13,21.2,0.4
Chennai,Nungambakkam,2020-02-14,22,0.8
Chennai,Nungambakkam,2020-02-15,22.5,0.5
Chennai,Nungambakkam,2020-02-16,22.9,0.4
Chennai,Nungambakkam,2020-02-17,29.3,6.4
Chennai,Nungambakkam,2020-02-18,29.5,0.2
Chennai,Nungambakkam,2020-02-19,29.6,0.1
Chennai,Nungambakkam,2020-02-20,29.7,0.1
Chennai,Nungambakkam,2020-02-21,29.7,0
Chennai,Nungambakkam,2020-02-22,29.8,0.1
Chennai,Nungambakkam,2020-02-23,31.5,1.7
Chennai,Nungambakkam,2020-02-24,34.2,2.7
Chennai,Nungambakkam,2020-02-25,34.9,0.7
Chennai,Nungambakkam,2020-02-26,34.9,0
Chennai,Nungambakkam,2020-02-27,35.7,0.8
Chennai,Nungambakkam,2020-02-28,35.9,0.2
Chennai,Nungambakkam,2020-03-01,0,0
Chennai,Nungambakkam,2020-03-02,0,0
Chennai,Nungambakkam,2020-03-03,0,0
Chennai,Nungambakkam,2020-03-04,0.2,0.2
Chennai,Nungambakkam,2020-03-05,0.3,0.1
Chennai,Nungambakkam,2020-03-06,0.6,0.3
Chennai,Nungambakkam,2020-03-07,0.8,0.2
Chennai,Nungambakkam,2020-03-08,0.8,0
Chennai,Nungambakkam,2020-03-09,0.8,0
Chennai,Nungambakkam,2020-03-10,1.6,0.8
Chennai,Nungambakkam,2020-03-11,1.6,0
Chennai,Nungambakkam,2020-03-12,2.2,0.6
Chennai,Nungambakkam,2020-03-13,2.2,0
Chennai,Nungambakkam,2020-03-14,2.6,0.4
Chennai,Nungambakkam,2020-03-15,3.3,0.7
Chennai,Nungambakkam,2020-03-16,3.3,0
Chennai,Nungambakkam,2020-03-17,3.3,0
Chennai,Nungambakkam,2020-03-18,3.5,0.2
Chennai,Nungambakkam,2020-03-19,3.5,0
Chennai,Nungambakkam,2020-03-20,3.5,0
Chennai,Nungambakkam,2020-03-21,3.7,0.2
Chennai,Nungambakkam,2020-03-22,5.1,1.4
Chennai,Nungambakkam,2020-03-23,5.2,0.1
Chennai,Nungambakkam,2020-03-24,5.3,0.1
Chennai,Nungambakkam,2020-03-25,5.4,0.1
Chennai,Nungambakkam,2020-03-26,5.4,0
Chennai,Nungambakkam,2020-03-27,5.9,0.5
Chennai,Nungambakkam,2020-03-28,5.9,0
Chennai,Nungambakkam,2020-03-29,5.9,0
Chennai,Nungambakkam,2020-03-30,5.9,0
Chennai,Nungambakkam,2020-03-31,5.9,0
Chennai,Nungambakkam,2020-04-01,6.9,1
Chennai,Nungambakkam,2020-04-02,7.5,0.6
Chennai,Nungambakkam,2020-04-03,7.5,0
Chennai,Nungambakkam,2020-04-04,7.6,0.1
Chennai,Nungambakkam,2020-04-05,8,0.4
Chennai,Nungambakkam,2020-04-06,9.6,1.6
Chennai,Nungambakkam,2020-04-07,9.7,0.1
Chennai,Nungambakkam,2020-04-08,9.7,0
Chennai,Nungambakkam,2020-04-09,9.7,0
Chennai,Nungambakkam,2020-04-10,9.8,0.1
Chennai,Nungambakkam,2020-04-11,9.9,0.1
Chennai,Nungambakkam,2020-04-12,11.1,1.2
Chennai,Nungambakkam,2020-04-13,11.7,0.6
Chennai,Nungambakkam,2020-04-14,12.2,0.5
Chennai,Nungambakkam,2020-04-15,12.5,0.3
Chennai,Nungambakkam,2020-04-16,12.6,0.1
Chennai,Nungambakkam,2020-04-17,12.6,0
Chennai,Nungambakkam,2020-04-18,12.8,0.2
Chennai,Nungambakkam,2020-04-19,12.8,0
Chennai,Nungambakkam,2020-04-20,12.8,0
Chennai,Nungambakkam,2020-04-21,12.8,0
Chennai,Nungambakkam,2020-04-22,13.2,0.4
Chennai,Nungambakkam,2020-04-23,13.8,0.6
Chennai,Nungambakkam,2020-04-24,13.8,0
Chennai,Nungambakkam,2020-04-25,14.1,0.3
Chennai,Nungambakkam,2020-04-26,15.6,1.5
Chennai,Nungambakkam,2020-04-27,15.6,0
Chennai,Nungambakkam,2020-04-28,15.8,0.2
Chennai,Nungambakkam,2020-04-29,15.8,0
Chennai,Nungambakkam,2020-04-30,15.9,0.1
Chennai,Nungambakkam,2020-05-01,16.4,0.5
Chennai,Nungambakkam,2020-05-02,17.1,0.7
Chennai,Nungambakkam,2020-05-03,17.4,0.3
Chennai,Nungambakkam,2020-05-04,19.5,2.1
Chennai,Nungambakkam,2020-05-05,20.3,0.8
Chennai,Nungambakkam,2020-05-06,21.7,1.4
Chennai,Nungambakkam,2020-05-07,25.6,3.9
Chennai,Nungambakkam,2020-05-08,30.9,5.3
Chennai,Nungambakkam,2020-05-09,32.6,1.7
Chennai,Nungambakkam,2020-05-10,32.7,0.1
Chennai,Nungambakkam,2020-05-11,34.4,1.7
Chennai,Nungambakkam,2020-05-12,37.3,2.9
Chennai,Nungambakkam,2020-05-13,38.1,0.8
Chennai,Nungambakkam,2020-05-14,38.5,0.4
Chennai,Nungambakkam,2020-05-15,38.8,0.3
Chennai,Nungambakkam,2020-05-16,40.2,1.4
Chennai,Nungambakkam,2020-05-17,42.9,2.7
Chennai,Nungambakkam,2020-05-18,44.9,2
Chennai,Nungambakkam,2020-05-19,47.5,2.6
Chennai,Nungambakkam,2020-05-20,50.3,2.8
Chennai,Nungambakkam,2020-05-21,50.9,0.6
Chennai,Nungambakkam,2020-05-22,51.7,0.8
Chennai,Nungambakkam,2020-05-23,51.8,0.1
Chennai,Nungambakkam,2020-05-24,52.7,0.9
Chennai,Nungambakkam,2020-05-25,53.2,0.5
Chennai,Nungambakkam,2020-05-26,56,2.8
Chennai,Nungambakkam,2020-05-27,56.4,0.4
Chennai,Nungambakkam,2020-05-28,56.4,0
Chennai,Nungambakkam,2020-05-29,56.5,0.1
Chennai,Nungambakkam,2020-05-30,57.1,0.6
Chennai,Nungambakkam,2020-05-31,57.5,0.4
Chennai,Nungambakkam,2020-06-01,1,1
Chennai,Nungambakkam,2020-06-02,1.8,0.8
Chennai,Nungambakkam,2020-06-03,2.1,0.3
Chennai,Nungambakkam,2020-06-04,3.2,1.1
Chennai,Nungambakkam,2020-06-05,9,5.8
Chennai,Nungambakkam,2020-06-06,9.5,0.5
Chennai,Nungambakkam,2020-06-07,13.1,3.6
Chennai,Nungambakkam,2020-06-08,15,1.9
Chennai,Nungambakkam,2020-06-09,18.6,3.6
Chennai,Nungambakkam,2020-06-10,19.5,0.9
Chennai,Nungambakkam,2020-06-11,23,3.5
Chennai,Nungambakkam,2020-06-12,24.6,1.6
Chennai,Nungambakkam,2020-06-13,27.6,3
Chennai,Nungambakkam,2020-06-14,36.2,8.6
Chennai,Nungambakkam,2020-06-15,41.9,5.7
Chennai,Nungambakkam,2020-06-16,42.9,1
Chennai,Nungambakkam,2020-06-17,43.2,0.3
Chennai,Nungambakkam,2020-06-18,45.5,2.3
Chennai,Nungambakkam,2020-06-19,48,2.5
Chennai,Nungambakkam,2020-06-20,50,2
Chennai,Nungambakkam,2020-06-21,52.2,2.2
Chennai,Nungambakkam,2020-06-22,55.1,2.9
Chennai,Nungambakkam,2020-06-23,58.6,3.5
Chennai,Nungambakkam,2020-06-24,60.9,2.3
Chennai,Nungambakkam,2020-06-25,62.1,1.2
Chennai,Nungambakkam,2020-06-26,63.8,1.7
Chennai,Nungambakkam,2020-06-27,66.5,2.7
Chennai,Nungambakkam,2020-06-28,68.7,2.2
Chennai,Nungambakkam,2020-06-29,72.7,4
Chennai,Nungambakkam,2020-06-30,74.8,2.1
Chennai,Nungambakkam,2020-07-01,77.2,2.4
Chennai,Nungambakkam,2020-07-02,79.4,2.2
Chennai,Nungambakkam,2020-07-03,83.4,4
Chennai,Nungambakkam,2020-07-04,84.6,1.2
Chennai,Nungambakkam,2020-07-05,86.5,1.9
Chennai,Nungambakkam,2020-07-06,91.6,5.1
Chennai,Nungambakkam,2020-07-07,93.3,1.7
Chennai,Nungambakkam,2020-07-08,95.3,2
Chennai,Nungambakkam,2020-07-09,98.1,2.8
Chennai,Nungambakkam,2020-07-10,101.8,3.7
Chennai,Nungambakkam,2020-07-11,104.7,2.9
Chennai,Nungambakkam,2020-07-12,110.7,6
Chennai,Nungambakkam,2020-07-13,113.9,3.2
